trial_numbers,cue_time in s,M7_L_rewards,M7_L_beambreak_time in s,M7_L_reward time in s,M8_R_rewards,M8_R_beambreak_time in s,M8_R_reward time in s,M7_L_beambreak_time,M8_R_beambreak_time,cue_time
,202307131136456,19,,202307131136394,19,202307131136466,202307131136466,1689273421.6913753,1689273406.6096716,1689273405.6062968
,202307131137068,19,,202307131136394,20,202307131137208,202307131137209,1689273442.9057152,1689273440.8356733,1689273426.8181076
,202307131137280,19,,202307131136394,21,202307131137290,202307131137290,1689273464.1096377,1689273449.023996,1689273448.0189543
,202307131137492,19,,202307131136394,22,202307131137502,202307131137502,1689273485.30731,1689273470.2205791,1689273469.2158618
,202307131138104,19,,202307131136394,23,202307131138224,202307131138224,1689273506.506026,1689273502.4340804,1689273490.418643
,202307131138316,20,202307131138446,202307131138446,23,,202307131138224,1689273524.6319568,1689273527.70648,1689273511.6152902
,202307131138578,21,202307131138598,202307131138599,23,,202307131138224,1689273539.8418646,1689273553.9261003,1689273537.8375282
,202307131139240,21,,202307131138599,23,,202307131138224,1689273580.0588253,1689273580.0610855,1689273564.03748
,202307131139552,21,,202307131138599,24,202307131140052,202307131140053,1689273611.3570857,1689273605.28239,1689273595.2688482
,202307131140164,22,202307131140235,202307131140236,25,202307131140174,202307131140175,1689273623.5522234,1689273617.481169,1689273616.4775069
,202307131140287,23,202307131140348,202307131140348,26,202307131140297,202307131140298,1689273634.810455,1689273629.7366524,1689273628.7317903
,202307131140399,24,202307131140409,202307131140410,27,202307131140410,202307131140411,1689273640.9927716,1689273641.0562782,1689273639.9893482
,202307131140462,25,202307131140502,202307131140503,27,,202307131140411,1689273650.2491367,1689273662.329461,1689273646.2423117
,202307131141124,25,,202307131140503,27,,202307131140411,1689273688.4799845,1689273688.4821157,1689273672.4575613
,202307131141436,26,202307131141506,202307131141506,27,,202307131140411,1689273710.6186101,1689273719.694262,1689273703.6084678
,202307131142098,26,,202307131141506,28,202307131142158,202307131142158,1689273745.8956347,1689273735.8159623,1689273729.8066156
,202307131142310,27,202307131142380,202307131142381,29,202307131142441,202307131142441,1689273758.0404506,1689273764.111648,1689273751.0301008
,202307131142492,27,,202307131142381,29,,202307131142441,1689273785.3036735,1689273785.3051844,1689273769.2813702
,202307131143204,27,,202307131142381,29,,202307131142441,1689273816.4572017,1689273816.4594185,1689273800.4344845
,202307131143515,27,,202307131142381,29,,202307131142441,1689273847.6105986,1689273847.612101,1689273831.5894783
,202307131144227,27,,202307131142381,30,202307131144367,202307131144368,1689273878.8216608,1689273876.7525468,1689273862.734459
,202307131144439,27,,202307131142381,31,202307131144449,202307131144450,1689273900.029832,1689273884.944861,1689273883.9397418
,202307131145051,28,202307131145081,202307131145082,31,,202307131144450,1689273908.1475756,1689273921.2290423,1689273905.1418493
,202307131145313,28,,202307131145082,31,,202307131144450,1689273947.373893,1689273947.37618,1689273931.3513834
,202307131146025,29,202307131146035,202307131146035,31,,202307131144450,1689273963.5100603,1689273978.594135,1689273962.5063925
,202307131146287,29,,202307131146035,31,,202307131144450,1689274004.7429621,1689274004.746522,1689273988.720492
,202307131146598,30,202307131147019,202307131147020,32,202307131147008,202307131147009,1689274021.9568753,1689274020.888039,1689274019.882763
,202307131147071,31,202307131147081,202307131147081,33,202307131147081,202307131147082,1689274028.131569,1689274028.194925,1689274027.128123
,202307131147133,31,,202307131147081,34,202307131147143,202307131147144,1689274049.4268928,1689274034.3442683,1689274033.3406126
