,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times
41,M1M2,35.7,40.7,True,5.0,0 days 00:18:34.000300,2023-07-12 11:04:15.000300
42,M1M2,2.0,49.5,True,47.5,0 days 00:19:25.000500,2023-07-12 11:05:06.000500
43,M1M2,8.099999999999994,2.0,True,6.099999999999994,0 days 00:19:56.000700,2023-07-12 11:05:37.000700
44,M1M2,8.0,33.7,True,25.700000000000003,0 days 00:20:25,2023-07-12 11:06:06.000000
45,M1M2,1.0,1.0,True,0.0,0 days 00:20:56.000200,2023-07-12 11:06:37.000200
46,M1M2,-20.199999999999996,-20.199999999999996,True,0.0,0 days 00:21:17.000400,2023-07-12 11:06:58.000400
47,M1M2,48.6,48.6,True,0.0,0 days 00:22:08.000600,2023-07-12 11:07:49.000600
48,M1M2,3.0,,False,,0 days 00:22:59.000800,2023-07-12 11:08:40.000800
49,M1M2,31.9,26.300000000000004,True,5.599999999999994,0 days 00:23:30.000900,2023-07-12 11:09:11.000900
50,M1M2,3.0,34.2,True,31.200000000000003,0 days 00:24:22.001000,2023-07-12 11:10:03.001000
51,M1M2,2.0,3.9000000000000057,True,1.9000000000000057,0 days 00:24:53.000300,2023-07-12 11:10:34.000300
52,M1M2,4.0,32.6,True,28.6,0 days 00:25:24.000600,2023-07-12 11:11:05.000600
53,M1M2,5.0,1.4000000000000057,True,3.5999999999999943,0 days 00:25:55.000800,2023-07-12 11:11:36.000800
54,M1M2,33.8,30.200000000000003,True,3.5999999999999943,0 days 00:26:27,2023-07-12 11:12:08.000000
55,M1M2,7.0,,False,,0 days 00:27:18.000200,2023-07-12 11:12:59.000200
56,M1M2,-24.2,7.800000000000004,True,32.0,0 days 00:27:49.000400,2023-07-12 11:13:30.000400
57,M1M2,44.7,5.100000000000001,True,39.6,0 days 00:28:40.000500,2023-07-12 11:14:21.000500
58,M1M2,13.400000000000006,7.0,True,6.400000000000006,0 days 00:29:11.000800,2023-07-12 11:14:52.000800
59,M1M2,1.0,35.8,True,34.8,0 days 00:29:43,2023-07-12 11:15:24.000000
60,M1M2,-30.200000000000003,4.599999999999994,True,34.8,0 days 00:30:14.000200,2023-07-12 11:15:55.000200
61,M1M2,9.0,13.399999999999999,True,4.399999999999999,0 days 00:31:05.000400,2023-07-12 11:16:46.000400
62,M1M2,37.8,42.199999999999996,True,4.399999999999999,0 days 00:31:36.000600,2023-07-12 11:17:17.000600
63,M1M2,46.599999999999994,51.0,True,4.400000000000006,0 days 00:32:27.000800,2023-07-12 11:18:08.000800
64,M1M2,,,False,,0 days 00:33:18.000900,2023-07-12 11:18:59.000900
65,M1M2,3.3999999999999986,7.799999999999997,True,4.399999999999999,0 days 00:34:10.001000,2023-07-12 11:19:51.001000
66,M1M2,2.0,17.5,True,15.5,0 days 00:35:01.000300,2023-07-12 11:20:42.000300
67,M1M2,30.799999999999997,1.0,True,29.799999999999997,0 days 00:35:32.000500,2023-07-12 11:21:13.000500
68,M1M2,59.599999999999994,-30.200000000000003,True,89.8,0 days 00:36:03.000700,2023-07-12 11:21:44.000700
69,M1M2,8.399999999999999,38.6,True,30.200000000000003,0 days 00:36:54.000900,2023-07-12 11:22:35.000900
70,M1M2,17.299999999999997,,False,,0 days 00:37:46,2023-07-12 11:23:27.000000
71,M1M2,1.0,,False,,0 days 00:38:37.000200,2023-07-12 11:24:18.000200
72,M1M2,-30.3,,False,,0 days 00:39:08.000500,2023-07-12 11:24:49.000500
73,M1M2,38.599999999999994,,False,,0 days 00:39:59.000600,2023-07-12 11:25:40.000600
74,M1M2,,,False,,0 days 00:40:50.000800,2023-07-12 11:26:31.000800
75,M1M2,,,False,,0 days 00:41:42,2023-07-12 11:27:23.000000
76,M1M2,4.199999999999999,,False,,0 days 00:42:33.001000,2023-07-12 11:28:14.001000
77,M1M2,13.899999999999999,9.2,True,4.699999999999999,0 days 00:43:24.000300,2023-07-12 11:29:05.000300
78,M1M2,,,False,,0 days 00:44:15.000400,2023-07-12 11:29:56.000400
79,M1M2,,,False,,0 days 00:45:06.000600,2023-07-12 11:30:47.000600
80,M1M2,,,False,,0 days 00:45:57.000700,2023-07-12 11:31:38.000700
81,M1M2,,,False,,0 days 00:46:48.000900,2023-07-12 11:32:29.000900
82,M1M2,,,False,,0 days 00:47:40.001000,2023-07-12 11:33:21.001000
